DATE         ERC 
------------------
05/19/2010  17.7 
05/20/2010  19.3 
05/21/2010  23.0 
05/22/2010  21.4 
05/23/2010  22.6 
05/24/2010  10.2 
05/25/2010  20.2 
05/26/2010  24.2 
05/27/2010   7.7 
05/28/2010   6.5 
05/29/2010  10.0 
05/30/2010  16.1 
05/31/2010   8.2 
06/01/2010  13.3 
06/02/2010  17.6 
06/03/2010  21.6 
06/04/2010  13.2 
06/05/2010  23.1 
06/06/2010  25.0 
06/07/2010  22.0 
06/08/2010  24.5 
06/09/2010  23.8 
06/10/2010  25.8 
06/11/2010  27.2 
06/12/2010  29.3 
06/13/2010  32.0 
06/14/2010  32.9 
06/15/2010  31.9 
06/16/2010  21.6 
06/17/2010  11.8 
06/18/2010  21.8 
06/19/2010  23.4 
06/20/2010  23.4 
06/21/2010  13.5 
06/22/2010  20.6 
06/23/2010  24.0 
06/24/2010  26.0 
06/25/2010  26.4 
06/26/2010  26.9 
06/27/2010  29.2 
06/28/2010  30.3 
06/29/2010  30.9 
06/30/2010  26.0 
07/01/2010  27.9 
07/02/2010  20.9 
07/03/2010  24.5 
07/04/2010  26.5 
07/05/2010  19.7 
07/06/2010  23.8 
07/07/2010  26.4 
07/08/2010  29.2 
07/09/2010  30.7 
07/10/2010  31.4 
07/11/2010  27.8 
07/12/2010  29.6 
07/13/2010  31.5 
07/14/2010  30.8 
07/15/2010  32.1 
07/16/2010  34.8 
07/17/2010  36.1 
07/18/2010  36.6 
07/19/2010  35.1 
07/20/2010  33.3 
07/21/2010  32.1 
07/22/2010  29.6 
07/23/2010  26.2 
07/24/2010  29.1 
07/25/2010  31.0 
07/26/2010  31.9 
07/27/2010  25.8 
07/28/2010  27.4 
07/29/2010  27.5 
07/30/2010  28.9 
07/31/2010  28.9 
08/01/2010  24.7 
08/02/2010  26.6 
08/03/2010  25.2 
08/04/2010  21.6 
08/05/2010  25.6 
08/06/2010  27.1 
08/07/2010  28.7 
08/08/2010  27.7 
08/09/2010  29.9 
08/10/2010  26.7 
08/11/2010  29.8 
08/12/2010  22.3 
08/13/2010  17.3 
08/14/2010  12.6 
08/15/2010  21.1 
08/16/2010  22.5 
08/17/2010  23.9 
08/18/2010  25.1 
08/19/2010  27.0 
08/20/2010  27.9 
08/21/2010  29.5 
08/22/2010  28.4 
08/23/2010  25.2 
08/24/2010  29.0 
08/25/2010  30.6 
08/26/2010  32.8 
08/27/2010  34.7 
08/28/2010  33.7 
08/29/2010  14.8 
08/30/2010  17.8 
08/31/2010  24.0 
09/01/2010  11.9 
09/02/2010  21.9 
09/03/2010  24.7 
09/04/2010  12.1 
09/05/2010  23.9 
09/06/2010  22.0 
09/07/2010  24.8 
09/08/2010  24.2 
09/09/2010   8.2 
09/10/2010  17.8 
09/11/2010  19.1 
09/12/2010  21.7 
09/13/2010  21.8 
09/14/2010  11.6 
09/15/2010  19.0 
09/16/2010  17.1 
09/17/2010  10.9 
09/18/2010  12.5 
09/19/2010  13.7 
09/20/2010  13.5 
09/21/2010  10.3 
09/22/2010  15.0 
09/23/2010  16.6 
