DATE,ERC
1/1/2010,12
1/2/2010,14.9
1/3/2010,14.5
1/4/2010,15.4
1/5/2010,14.3
1/6/2010,18.7
1/7/2010,19.8
1/8/2010,20.8
1/9/2010,19.6
1/10/2010,19
1/11/2010,18.3
1/12/2010,19.5
1/13/2010,17.5
1/14/2010,19.6
1/15/2010,20.2
1/16/2010,20.3
1/17/2010,17.8
1/18/2010,20.5
1/19/2010,21.9
1/20/2010,20.3
1/21/2010,22.8
1/22/2010,23.9
1/23/2010,23.9
1/24/2010,24.4
1/25/2010,25
1/26/2010,24.2
1/27/2010,25
1/28/2010,25.4
1/29/2010,26.9
1/30/2010,26.9
1/31/2010,28.3
2/1/2010,25.9
2/2/2010,26.7
2/3/2010,26.4
2/4/2010,28.6
2/5/2010,28.6
2/6/2010,26.7
2/7/2010,26.3
2/8/2010,27.8
2/9/2010,29.4
2/10/2010,29.2
2/11/2010,28
2/12/2010,27.6
2/13/2010,28
2/14/2010,29.3
2/15/2010,28.1
2/16/2010,26.1
2/17/2010,28.2
2/18/2010,30
2/19/2010,30.4
2/20/2010,31.1
2/21/2010,32.5
2/22/2010,33.1
2/23/2010,33.6
2/24/2010,33.5
2/25/2010,31.1
2/26/2010,30.5
2/27/2010,31.9
2/28/2010,32.4
3/1/2010,33.1
3/2/2010,32.9
3/3/2010,33.5
3/4/2010,26
3/5/2010,30.7
3/6/2010,32.9
3/7/2010,33.2
3/8/2010,32.8
3/9/2010,28.2
3/10/2010,32.7
3/11/2010,34.3
3/12/2010,34.5
3/13/2010,33.2
3/14/2010,35.7
3/15/2010,35.3
3/16/2010,36.3
3/17/2010,35.2
3/18/2010,37.5
3/19/2010,35.6
3/20/2010,37.6
3/21/2010,38.4
3/22/2010,31
3/23/2010,34.9
3/24/2010,36.4
3/25/2010,37.9
3/26/2010,34.5
3/27/2010,36.9
3/28/2010,37.6
3/29/2010,32.6
3/30/2010,33
3/31/2010,35.3
4/1/2010,35.5
4/2/2010,36.4
4/3/2010,35.5
4/4/2010,36.8
4/5/2010,31.1
4/6/2010,26
4/7/2010,33.8
4/8/2010,28.6
4/9/2010,36.9
4/10/2010,37.7
4/11/2010,38.2
4/12/2010,29
4/13/2010,22.2
4/14/2010,28.3
4/15/2010,32
4/16/2010,32.6
4/17/2010,32.9
4/18/2010,32.3
4/19/2010,33.3
4/20/2010,35
4/21/2010,36
4/22/2010,34.4
4/23/2010,35.7
4/24/2010,35.5
4/25/2010,35.5
4/26/2010,36.8
4/27/2010,37.7
4/28/2010,24
4/29/2010,26.4
4/30/2010,31.5
5/1/2010,32.9
5/2/2010,30.7
5/3/2010,19.3
5/4/2010,28.6
5/5/2010,31
5/6/2010,33
5/7/2010,31.3
5/8/2010,34.4
5/9/2010,31
5/10/2010,34
5/11/2010,35.2
5/12/2010,35.4
5/13/2010,37.3
5/14/2010,38.4
5/15/2010,38.8
5/16/2010,39
5/17/2010,40.7
5/18/2010,40
5/19/2010,37.2
5/20/2010,30
5/21/2010,36.9
5/22/2010,35.7
5/23/2010,36.1
5/24/2010,24.1
5/25/2010,30.9
5/26/2010,35.4
5/27/2010,20.8
5/28/2010,17.3
5/29/2010,18.9
5/30/2010,23
5/31/2010,21.1
6/1/2010,20.9
6/2/2010,17.9
6/3/2010,20.5
6/4/2010,12.4
6/5/2010,21.5
6/6/2010,22.7
6/7/2010,7.8
6/8/2010,22.4
6/9/2010,16.8
6/10/2010,23.1
6/11/2010,13.4
6/12/2010,25.8
6/13/2010,28.8
6/14/2010,31.1
6/15/2010,25.7
6/16/2010,14.6
6/17/2010,7.3
6/18/2010,18
6/19/2010,21
6/20/2010,21.8
6/21/2010,16.8
6/22/2010,19.6
6/23/2010,20.1
6/24/2010,24.3
6/25/2010,26.3
6/26/2010,27.8
6/27/2010,31
6/28/2010,32.8
6/29/2010,36.7
6/30/2010,27.7
7/1/2010,29.9
7/2/2010,27.9
7/3/2010,18.2
7/4/2010,31.5
7/5/2010,28.8
7/6/2010,29.7
7/7/2010,31.8
7/8/2010,34.5
7/9/2010,36.4
7/10/2010,38.3
7/11/2010,38.2
7/12/2010,36.7
7/13/2010,39.5
7/14/2010,39.7
7/15/2010,39.4
7/16/2010,41.5
7/17/2010,44.2
7/18/2010,45.3
7/19/2010,45
7/20/2010,44.7
7/21/2010,44.6
7/22/2010,42.8
7/23/2010,40.6
7/24/2010,40.7
7/25/2010,41.6
7/26/2010,43.1
7/27/2010,40.8
7/28/2010,37.7
7/29/2010,39.9
7/30/2010,40.3
7/31/2010,42.2
8/1/2010,32.5
8/2/2010,36.2
8/3/2010,36.8
8/4/2010,36.5
8/5/2010,37.5
8/6/2010,36.6
8/7/2010,38.3
8/8/2010,34.8
8/9/2010,38.1
8/10/2010,25.7
8/11/2010,28.5
8/12/2010,28.5
8/13/2010,19.3
8/14/2010,22
8/15/2010,24.5
8/16/2010,26.6
8/17/2010,29.4
8/18/2010,31.9
8/19/2010,33.6
8/20/2010,36.7
8/21/2010,38.7
8/22/2010,41.5
8/23/2010,39.6
8/24/2010,40.4
8/25/2010,41.5
8/26/2010,43.4
8/27/2010,45.9
8/28/2010,43.9
8/29/2010,24.7
8/30/2010,32.7
8/31/2010,22.4
9/1/2010,23.4
9/2/2010,27.8
9/3/2010,32.5
9/4/2010,33.1
9/5/2010,35.4
9/6/2010,33.3
9/7/2010,33.7
9/8/2010,34.4
9/9/2010,15.3
9/10/2010,25.2
9/11/2010,26.4
9/12/2010,28.3
9/13/2010,28.6
9/14/2010,28
9/15/2010,28.6
9/16/2010,18.8
9/17/2010,14.9
9/18/2010,22.7
9/19/2010,23.8
9/20/2010,23.2
9/21/2010,17
9/22/2010,23.2
9/23/2010,24.9
9/24/2010,26.5
9/25/2010,26.2
9/26/2010,29.1
9/27/2010,32
9/28/2010,31.8
9/29/2010,32
9/30/2010,32.2
10/1/2010,34.7
10/2/2010,33.7
10/3/2010,36.5
10/4/2010,31.9
10/5/2010,26.4
10/6/2010,22.7
10/7/2010,23.7
10/8/2010,22.2
10/9/2010,21.8
10/10/2010,22.4
10/11/2010,21.7
10/12/2010,23.3
10/13/2010,23.3
10/14/2010,25.6
10/15/2010,27
10/16/2010,26.9
10/17/2010,28.2
10/18/2010,29.6
10/19/2010,32.1
10/20/2010,30.7
10/21/2010,32.2
10/22/2010,32.3
10/23/2010,31.5
10/24/2010,22.1
10/25/2010,24.8
10/26/2010,26.1
10/27/2010,24.3
10/28/2010,26.6
10/29/2010,26.3
10/30/2010,21.8
10/31/2010,19.7
11/1/2010,24.6
11/2/2010,25.8
11/3/2010,27.3
11/4/2010,28.9
11/5/2010,28.9
11/6/2010,26.8
11/7/2010,24.2
11/8/2010,24.9
11/9/2010,28.2
11/10/2010,28.4
11/11/2010,28.1
11/12/2010,28.2
11/13/2010,30.1
11/14/2010,25.4
11/15/2010,24.6
11/16/2010,12.6
11/17/2010,21.9
11/18/2010,21.7
11/19/2010,23.8
11/20/2010,25.1
11/21/2010,26.3
11/22/2010,26.1
11/23/2010,27
11/24/2010,27.6
11/25/2010,26.4
11/26/2010,26.4
11/27/2010,25.3
11/28/2010,23.5
11/29/2010,26.1
11/30/2010,25.9
12/1/2010,24.8
12/2/2010,22.5
12/3/2010,23.7
12/4/2010,25.3
12/5/2010,25.7
12/6/2010,27.3
12/7/2010,26.5
12/8/2010,26.6
12/9/2010,25.5
12/10/2010,23.7
12/11/2010,25.9
12/12/2010,23.2
12/13/2010,20.6
12/14/2010,19.6
12/15/2010,25.2
12/16/2010,26.2
12/17/2010,27.7
12/18/2010,28.3
12/19/2010,27.2
12/20/2010,27.5
12/21/2010,28.8
12/22/2010,29.9
12/23/2010,28.9
12/24/2010,29
12/25/2010,30.3
12/26/2010,30.1
12/27/2010,29
12/28/2010,25.1
12/29/2010,25
12/30/2010,29.1
12/31/2010,30.4
1/1/2011,30.5
1/2/2011,30.3
1/3/2011,29.4
1/4/2011,29.9
1/5/2011,28.5
1/6/2011,27.9
1/7/2011,24.8
1/8/2011,28
1/9/2011,29.1
1/10/2011,30.7
1/11/2011,31.5
1/12/2011,30.1
1/13/2011,27.4
1/14/2011,27.4
1/15/2011,25.8
1/16/2011,22
1/17/2011,23.3
1/18/2011,27
1/19/2011,27.6
1/20/2011,28.3
1/21/2011,26.1
1/22/2011,26
1/23/2011,29.1
1/24/2011,26.6
1/25/2011,25.1
1/26/2011,25.9
1/27/2011,27.1
1/28/2011,29
1/29/2011,29.2
1/30/2011,28.5
1/31/2011,31.2
2/1/2011,31.9
2/2/2011,33
2/3/2011,30.8
2/4/2011,27.8
2/5/2011,29.3
2/6/2011,30.7
2/7/2011,28.3
2/8/2011,32
2/9/2011,32.4
2/10/2011,31.8
2/11/2011,33.7
2/12/2011,35.5
2/13/2011,34.8
2/14/2011,33.4
2/15/2011,31.8
2/16/2011,27.6
2/17/2011,31.2
2/18/2011,31.6
2/19/2011,33.1
2/20/2011,34
2/21/2011,33.2
2/22/2011,32.9
2/23/2011,33.2
2/24/2011,35.1
