DATE,ERC
6/11/2010,11.7
6/12/2010,18.3
6/13/2010,20.9
6/14/2010,21.8
6/15/2010,22.2
6/16/2010,10.8
6/17/2010,4.5
6/18/2010,14.7
6/19/2010,17.5
6/20/2010,8
6/21/2010,4.3
6/22/2010,13.3
6/23/2010,17
6/24/2010,19.8
6/25/2010,22
6/26/2010,21.8
6/27/2010,24.2
6/28/2010,25.1
6/29/2010,25.9
6/30/2010,25.6
7/1/2010,25.3
7/2/2010,9.7
7/3/2010,19
7/4/2010,20
7/5/2010,17.9
7/6/2010,19.3
7/7/2010,22.9
7/8/2010,24.7
7/9/2010,26.8
7/10/2010,28
7/11/2010,28.6
7/12/2010,29.7
7/13/2010,30.2
7/14/2010,29.7
7/15/2010,30.1
7/16/2010,30.5
7/17/2010,31.5
7/18/2010,31.5
7/19/2010,30.4
7/20/2010,31.3
7/21/2010,29.8
7/22/2010,29.6
7/23/2010,29.7
7/24/2010,30.3
7/25/2010,31.4
7/26/2010,31.9
7/27/2010,24.2
7/28/2010,30.5
7/29/2010,29.8
7/30/2010,31.9
7/31/2010,31.1
8/1/2010,30.4
8/2/2010,31.2
8/3/2010,31.9
8/4/2010,32.6
8/5/2010,33.5
8/6/2010,26.1
8/7/2010,29.5
8/8/2010,29.5
8/9/2010,29.5
8/10/2010,22.1
8/11/2010,20
8/12/2010,23
8/13/2010,25.1
8/14/2010,26
8/15/2010,27.4
8/16/2010,29.3
8/17/2010,31.5
8/18/2010,29.4
8/19/2010,31.7
8/20/2010,30.9
8/21/2010,29.6
8/22/2010,26.7
8/23/2010,26.2
8/24/2010,27.1
8/25/2010,28.3
8/26/2010,29.5
8/27/2010,31.4
8/28/2010,23.1
8/29/2010,20.7
8/30/2010,24.5
8/31/2010,21.8
9/1/2010,5.9
9/2/2010,16.1
9/3/2010,18.9
9/4/2010,19.8
9/5/2010,19
9/6/2010,19.4
9/7/2010,21.3
9/8/2010,18.8
9/9/2010,8.6
9/10/2010,11.5
9/11/2010,15.3
9/12/2010,17
9/13/2010,17.8
9/14/2010,19.4
9/15/2010,20
9/16/2010,9.6
9/17/2010,11.8
9/18/2010,10.1
9/19/2010,11
9/20/2010,0
9/21/2010,1.9
9/22/2010,0
9/23/2010,10.2
9/24/2010,10.3
9/25/2010,11.9
9/26/2010,13.5
9/27/2010,14.8
9/28/2010,15.8
9/29/2010,16.8
9/30/2010,17.7
10/1/2010,19.1
10/2/2010,19.9
10/3/2010,18.8
10/4/2010,4
10/5/2010,14
10/6/2010,13.5
10/7/2010,10.1
10/8/2010,0
10/9/2010,8
